DATE;Holiday;Temperature;Solar_Irradiation;Power;DATE_YYYY_MM_DD;DATE_year;DATE_month_year;DATE_week_year;DATE_day_year;DATE_day_month;DATE_day_week;DATE_hour_year;DATE_hour_week;DATE_hour_day;DATE_weekday;slope_Temp;slope_Irrad;intercept;minimum;Power_fitted;Power_residuals;IS_Outlier
2019-01-01 00:00:00+00:00;True;-1.15;4.21;27.5;2019-01-01;2019;1;1;1;1;1;0;24;0;True;-2.0835803192048585;-6.590677623534598e-09;30.355550022640514;0.5218991346825652;32.75166736197935;5.251667361979351;False
2019-01-01 01:00:00+00:00;True;-0.94;4.23;30.0;2019-01-01;2019;1;1;1;1;1;1;25;1;True;-2.360552024107212;-4.057206443323426e-09;29.262739379951384;2.755579581107221;31.48165826545018;1.4816582654501786;False
2019-01-01 02:00:00+00:00;True;-0.8;4.13;26.6;2019-01-01;2019;1;1;1;1;1;2;26;2;True;-2.0662100451122067;-1.5436226599664833e-08;30.0876623881432;6.651294912842696;31.74063036048135;5.1406303604813495;False
2019-01-01 03:00:00+00:00;True;-0.6;4.04;26.9;2019-01-01;2019;1;1;1;1;1;3;27;3;True;-2.3264890354261567;-0.0844595634464447;32.60176658124488;3.1756865294244654;33.65644336617694;6.7564433661769385;False
2019-01-01 04:00:00+00:00;True;-0.1;4.93;28.4;2019-01-01;2019;1;1;1;1;1;4;28;4;True;-2.0711527792786546;-0.1763466011526905;31.183362268285187;0.159337032810348;30.521088802530286;2.121088802530288;False
2019-01-01 05:00:00+00:00;True;-0.12;5.11;26.5;2019-01-01;2019;1;1;1;1;1;5;29;5;True;-1.7998632338700156;-0.1616139157594321;33.7742064878792;0.408025257291226;33.1643429664129;6.664342966412903;False
2019-01-01 06:00:00+00:00;True;0.14;4.7;30.2;2019-01-01;2019;1;1;1;1;1;6;30;6;True;-2.184618968828604;-0.0173960722620809;31.72475620383276;0.8269620326906095;31.337148008564977;1.1371480085649779;False
2019-01-01 07:00:00+00:00;True;0.39;4.4;60.4;2019-01-01;2019;1;1;1;1;1;7;31;7;True;-2.527411060705381;-0.0488564964795689;42.93946732086109;0.3137806145930537;41.73880842267589;-18.66119157732411;False
2019-01-01 08:00:00+00:00;True;0.51;4.72;39.7;2019-01-01;2019;1;1;1;1;1;8;32;8;True;-2.4919174334741365;-0.0075457226495384;47.30286699490596;1.2253857176223533;45.996373292928325;6.2963732929283225;False
2019-01-01 09:00:00+00:00;True;0.68;8.77;35.4;2019-01-01;2019;1;1;1;1;1;9;33;9;True;-6.50709751397559;-0.0221804965061742;127.67558472034584;0.9451562478145336;123.0562354564833;87.6562354564833;True
2019-01-01 10:00:00+00:00;True;1.01;22.71;33.7;2019-01-01;2019;1;1;1;1;1;10;34;10;True;-6.464895843571526;-0.0152469643093649;124.11631356072624;2.452330673414622;117.24051019925332;83.54051019925332;True
2019-01-01 11:00:00+00:00;True;1.43;28.42;32.8;2019-01-01;2019;1;1;1;1;1;11;35;11;True;-6.049622940532909;-0.0403361065336953;127.29416129597952;0.747890721417701;117.49684834332984;84.69684834332985;True
2019-01-01 12:00:00+00:00;True;1.81;40.0;32.5;2019-01-01;2019;1;1;1;1;1;12;36;12;True;-6.1822721597939845;-0.0164843491686766;119.08507836843836;7.415123380790834;107.23579179246418;74.73579179246418;True
2019-01-01 13:00:00+00:00;True;1.99;43.24;35.0;2019-01-01;2019;1;1;1;1;1;13;37;13;True;-6.029085381673999;-0.0185135763714662;122.25124884877118;1.9873673718836689;109.45284189693773;74.45284189693773;True
2019-01-01 14:00:00+00:00;True;2.19;15.66;35.9;2019-01-01;2019;1;1;1;1;1;14;38;14;True;-5.9323289672744;-1.467052255160814e-08;117.76519690654224;3.832778329732301;104.77339623847092;68.87339623847092;True
