DATE;DATE_year;DATE_month_year;DATE_week_year;DATE_day_year;DATE_day_month;DATE_day_week;DATE_hour_year;DATE_hour_week;DATE_hour_day;DATE_weekday;DATE_YYYY_MM_DD;Holiday;Temperature;Solar_Irradiation;Power;Power_fitted;IS_Outlier;IS_Missing;IS_Missing_Outlier;IS_Repaired;Power_corrected
2019-01-01 00:00:00+00:00;2019;1;1;1;1;1;0;24;0;True;2019-01-01;True;-1.15;4.21;27.5;32.75166736197935;False;False;False;False;27.5
2019-01-01 01:00:00+00:00;2019;1;1;1;1;1;1;25;1;True;2019-01-01;True;-0.94;4.23;30.0;31.48165826545018;False;False;False;False;30.0
2019-01-01 02:00:00+00:00;2019;1;1;1;1;1;2;26;2;True;2019-01-01;True;-0.8;4.13;26.6;31.74063036048135;False;False;False;False;26.6
2019-01-01 03:00:00+00:00;2019;1;1;1;1;1;3;27;3;True;2019-01-01;True;-0.6;4.04;26.9;33.65644336617694;False;False;False;False;26.9
2019-01-01 04:00:00+00:00;2019;1;1;1;1;1;4;28;4;True;2019-01-01;True;-0.1;4.93;28.4;30.521088802530286;False;False;False;False;28.4
2019-01-01 05:00:00+00:00;2019;1;1;1;1;1;5;29;5;True;2019-01-01;True;-0.12;5.11;26.5;33.1643429664129;False;False;False;False;26.5
2019-01-01 06:00:00+00:00;2019;1;1;1;1;1;6;30;6;True;2019-01-01;True;0.14;4.7;30.2;31.337148008564977;False;False;False;False;30.2
2019-01-01 07:00:00+00:00;2019;1;1;1;1;1;7;31;7;True;2019-01-01;True;0.39;4.4;60.4;41.73880842267589;False;False;False;False;60.4
2019-01-01 08:00:00+00:00;2019;1;1;1;1;1;8;32;8;True;2019-01-01;True;0.51;4.72;39.7;45.996373292928325;False;False;False;False;39.7
2019-01-01 09:00:00+00:00;2019;1;1;1;1;1;9;33;9;True;2019-01-01;True;0.68;8.77;35.4;123.0562354564833;True;False;True;False;35.4
2019-01-01 10:00:00+00:00;2019;1;1;1;1;1;10;34;10;True;2019-01-01;True;1.01;22.71;33.7;117.24051019925332;True;False;True;False;33.7
2019-01-01 11:00:00+00:00;2019;1;1;1;1;1;11;35;11;True;2019-01-01;True;1.43;28.42;32.8;117.49684834332984;True;False;True;False;32.8
2019-01-01 12:00:00+00:00;2019;1;1;1;1;1;12;36;12;True;2019-01-01;True;1.81;40.0;32.5;107.23579179246418;True;False;True;False;32.5
2019-01-01 13:00:00+00:00;2019;1;1;1;1;1;13;37;13;True;2019-01-01;True;1.99;43.24;35.0;109.45284189693773;True;False;True;False;35.0
2019-01-01 14:00:00+00:00;2019;1;1;1;1;1;14;38;14;True;2019-01-01;True;2.19;15.66;35.9;104.77339623847092;True;False;True;False;35.9
2019-01-01 15:00:00+00:00;2019;1;1;1;1;1;15;39;15;True;2019-01-01;True;2.32;5.74;36.1;108.75356994122312;True;False;True;False;36.1
2019-01-01 16:00:00+00:00;2019;1;1;1;1;1;16;40;16;True;2019-01-01;True;2.3;2.83;33.1;104.60858841015356;True;False;True;False;33.1
2019-01-01 17:00:00+00:00;2019;1;1;1;1;1;17;41;17;True;2019-01-01;True;2.36;1.9;32.2;87.9168667286132;True;False;True;False;32.2
2019-01-01 18:00:00+00:00;2019;1;1;1;1;1;18;42;18;True;2019-01-01;True;2.25;2.25;36.4;50.1457790888056;False;False;False;False;36.4
2019-01-01 19:00:00+00:00;2019;1;1;1;1;1;19;43;19;True;2019-01-01;True;2.11;2.25;33.2;50.033177714712025;False;False;False;False;33.2
2019-01-01 20:00:00+00:00;2019;1;1;1;1;1;20;44;20;True;2019-01-01;True;1.98;2.24;31.8;43.84948840928251;False;False;False;False;31.8
2019-01-01 21:00:00+00:00;2019;1;1;1;1;1;21;45;21;True;2019-01-01;True;1.76;1.67;33.1;49.2582779232128;False;False;False;False;33.1
2019-01-01 22:00:00+00:00;2019;1;1;1;1;1;22;46;22;True;2019-01-01;True;1.62;1.56;25.2;32.127395238132515;False;False;False;False;25.2
2019-01-01 23:00:00+00:00;2019;1;1;1;1;1;23;47;23;True;2019-01-01;True;1.71;1.4;23.7;31.389366474274407;False;False;False;False;23.7
